 ,Area,X,Y,IntDen,RawIntDen,Slice
217,0,0.669,1.003,121,121,72
218,0,88.597,86.591,149,149,73
219,0,110.663,43.797,22,22,73
220,0,1.672,2.006,122,122,73
221,0,88.931,85.922,144,144,74
222,0,110.328,44.131,30,30,74
223,0,1.337,1.337,123,123,74
224,0,88.263,86.257,145,145,75
225,0,110.997,40.119,15,15,75
226,0,1.003,1.337,126,126,75
227,0,89.934,87.594,141,141,76
228,0,110.663,48.143,31,31,76
229,0,1.672,1.672,126,126,76
230,0,88.931,85.588,147,147,77
231,0,111.331,45.134,23,23,77
232,0,0.669,1.337,126,126,77
233,0,89.266,86.591,136,136,78
234,0,109.994,44.800,35,35,78
235,0,1.003,1.672,121,121,78
236,0,88.597,85.922,150,150,79
237,0,110.997,45.803,23,23,79
238,0,2.006,1.337,123,123,79
239,0,88.597,85.254,149,149,80
240,0,111.666,41.791,14,14,80
241,0,1.672,1.672,123,123,80
242,0,89.266,86.591,140,140,81
243,0,109.994,46.806,26,26,81
244,0,2.340,2.675,124,124,81
245,0,90.269,85.922,126,126,82
246,0,111.331,46.472,22,22,82
247,0,1.672,1.672,123,123,82
248,0,89.266,85.588,131,131,83
249,0,112.000,41.457,12,12,83
250,0,1.003,1.003,126,126,83
251,0,89.600,86.257,140,140,84
252,0,114.006,43.128,10,10,84
253,0,1.337,1.672,126,126,84
254,0,88.931,86.257,149,149,85
255,0,113.337,46.806,17,17,85
256,0,0.669,1.672,126,126,85
257,0,89.600,86.257,138,138,86
258,0,112.000,46.137,23,23,86
259,0,1.337,1.672,126,126,86
260,0,88.263,86.257,149,149,87
261,0,113.672,40.788,20,20,87
262,0,1.672,1.672,126,126,87
263,0,88.597,86.591,150,150,88
264,0,110.997,42.460,33,33,88
265,0,108.657,68.537,109,109,88
266,0,89.266,86.925,142,142,89
267,0,112.669,40.454,23,23,89
268,0,109.994,73.218,97,97,89
269,0,87.594,86.925,155,155,90
270,0,112.000,43.463,27,27,90
271,0,113.003,72.215,52,52,90
272,0,88.931,87.594,159,159,91
273,0,113.003,40.788,16,16,91
274,0,112.000,72.884,76,76,91
275,0,86.257,85.922,159,159,92
276,0,112.000,42.794,20,20,92
277,0,106.316,72.215,86,86,92
278,0,87.594,88.597,166,166,93
279,0,113.003,41.457,14,14,93
280,0,2.006,2.006,126,126,93
281,0,91.940,87.260,177,177,94
282,0,110.997,46.472,28,28,94
283,0,1.337,1.672,124,124,94
284,0,93.278,87.260,171,171,95
285,0,111.666,44.131,17,17,95
286,0,1.003,1.672,124,124,95
287,0,93.612,86.925,171,171,96
288,0,110.328,42.794,19,19,96
289,0,2.340,1.672,124,124,96
290,0,92.275,86.257,179,179,97
291,0,109.325,42.125,17,17,97
292,0,1.337,2.006,124,124,97
293,0,92.943,87.594,180,180,98
294,0,110.997,44.800,20,20,98
295,0,2.340,1.672,123,123,98
296,0,92.943,88.931,176,176,99
297,0,111.666,45.803,16,16,99
298,0,2.006,1.672,122,122,99
299,0,92.943,87.260,181,181,100
300,0,114.006,41.122,7,7,100
301,0,1.337,1.672,122,122,100
302,0,92.943,88.597,176,176,101
303,0,112.669,46.806,22,22,101
304,0,2.006,3.009,124,124,101
305,0,92.943,86.925,173,173,102
306,0,110.663,48.478,37,37,102
307,0,1.337,1.672,126,126,102
308,0,93.946,87.928,165,165,103
309,0,112.334,50.484,34,34,103
310,0,1.337,1.672,126,126,103
311,0,92.275,88.597,187,187,104
312,0,109.325,51.152,48,48,104
313,0,103.642,98.961,85,85,104
314,0,90.937,87.594,190,190,105
315,0,110.328,48.478,37,37,105
316,0,102.304,95.952,85,85,105
317,0,86.257,86.925,181,181,106
318,0,106.985,48.143,50,50,106
319,0,98.961,95.284,92,92,106
320,0,1.003,1.672,131,131,107
321,0,110.328,46.137,34,34,107
322,0,98.627,88.263,99,99,107
323,0,2.340,2.340,128,128,108
324,0,110.663,45.469,33,33,108
325,0,1.003,2.340,129,129,109
326,0,113.003,40.788,15,15,109
327,0,3.343,3.343,127,127,109
328,0,1.672,2.340,126,126,110
329,0,108.991,41.457,33,33,110
330,0,3.343,3.009,124,124,110
331,0,2.006,3.343,124,124,111
332,0,111.331,40.454,30,30,111
333,0,3.009,2.340,124,124,111
334,0,1.672,1.337,126,126,112
335,0,113.003,36.776,21,21,112
336,0,4.012,2.340,124,124,112
337,0,1.337,1.337,126,126,113
338,0,112.334,29.755,1,1,113
339,0,4.681,3.343,124,124,113
340,0,2.006,2.340,124,124,114
341,0,2.006,2.340,124,124,114
342,0,2.006,2.340,124,124,114
343,0,1.672,3.009,126,126,115
344,0,1.672,3.009,126,126,115
345,0,1.672,3.009,126,126,115
346,0,2.006,2.340,124,124,116
347,0,2.006,2.340,124,124,116
348,0,2.006,2.340,124,124,116
349,0,2.006,2.340,124,124,117
350,0,2.006,2.340,124,124,117
351,0,2.006,2.340,124,124,117
352,0,2.006,2.675,124,124,118
353,0,2.006,2.675,124,124,118
354,0,2.006,2.675,124,124,118
355,0,2.006,2.675,124,124,119
356,0,2.006,2.675,124,124,119
357,0,2.006,2.675,124,124,119
358,0,2.006,2.675,126,126,120
359,0,2.006,2.675,126,126,120
360,0,2.006,2.675,126,126,120
361,0,2.006,2.675,124,124,121
362,0,2.006,2.675,124,124,121
363,0,2.006,2.675,124,124,121
364,0,2.006,2.675,122,122,122
365,0,2.006,2.675,122,122,122
366,0,2.006,2.675,122,122,122
367,0,2.006,2.675,122,122,123
368,0,2.006,2.675,122,122,123
369,0,2.006,2.675,122,122,123
370,0,2.006,2.675,124,124,124
371,0,2.006,2.675,124,124,124
372,0,2.006,2.675,124,124,124
373,0,2.006,2.675,124,124,125
374,0,2.006,2.675,124,124,125
375,0,2.006,2.675,124,124,125
376,0,2.006,2.675,123,123,126
377,0,2.006,2.675,123,123,126
378,0,2.006,2.675,123,123,126
379,0,2.006,2.675,123,123,127
380,0,2.006,2.675,123,123,127
381,0,2.006,2.675,123,123,127
382,0,2.006,2.675,123,123,128
383,0,2.006,2.675,123,123,128
384,0,2.006,2.675,123,123,128
385,0,2.006,2.675,123,123,129
386,0,2.006,2.675,123,123,129
387,0,2.006,2.675,123,123,129
388,0,2.006,2.675,123,123,130
389,0,2.006,2.675,123,123,130
390,0,2.006,2.675,123,123,130
391,0,2.006,2.675,123,123,131
392,0,2.006,2.675,123,123,131
393,0,2.006,2.675,123,123,131
394,0,2.006,2.675,123,123,132
395,0,2.006,2.675,123,123,132
396,0,2.006,2.675,123,123,132
397,0,2.006,2.675,123,123,133
398,0,2.006,2.675,123,123,133
399,0,2.006,2.675,123,123,133
